Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2019,01,01,32.5,1,Y
IDCJAC0010,009225,2019,01,02,23.8,1,Y
IDCJAC0010,009225,2019,01,03,23.8,1,Y
IDCJAC0010,009225,2019,01,04,24.2,1,Y
IDCJAC0010,009225,2019,01,05,32.5,1,Y
IDCJAC0010,009225,2019,01,06,36.4,1,Y
IDCJAC0010,009225,2019,01,07,32.2,1,Y
IDCJAC0010,009225,2019,01,08,33.1,1,Y
IDCJAC0010,009225,2019,01,09,31.2,1,Y
IDCJAC0010,009225,2019,01,10,25.5,1,Y
IDCJAC0010,009225,2019,01,11,27.5,1,Y
IDCJAC0010,009225,2019,01,12,33.7,1,Y
IDCJAC0010,009225,2019,01,13,27.7,1,Y
IDCJAC0010,009225,2019,01,14,28.8,1,Y
IDCJAC0010,009225,2019,01,15,29.1,1,Y
IDCJAC0010,009225,2019,01,16,28.1,1,Y
IDCJAC0010,009225,2019,01,17,26.0,1,Y
IDCJAC0010,009225,2019,01,18,32.8,1,Y
IDCJAC0010,009225,2019,01,19,40.4,1,Y
IDCJAC0010,009225,2019,01,20,42.1,1,Y
IDCJAC0010,009225,2019,01,21,29.8,1,Y
IDCJAC0010,009225,2019,01,22,30.5,1,Y
IDCJAC0010,009225,2019,01,23,22.2,1,Y
IDCJAC0010,009225,2019,01,24,20.6,1,Y
IDCJAC0010,009225,2019,01,25,25.7,1,Y
IDCJAC0010,009225,2019,01,26,32.0,1,Y
IDCJAC0010,009225,2019,01,27,35.5,1,Y
IDCJAC0010,009225,2019,01,28,39.6,1,Y
IDCJAC0010,009225,2019,01,29,30.6,1,Y
IDCJAC0010,009225,2019,01,30,30.9,1,Y
IDCJAC0010,009225,2019,01,31,36.2,1,Y
IDCJAC0010,009225,2019,02,01,38.5,1,N
IDCJAC0010,009225,2019,02,02,27.1,1,N
IDCJAC0010,009225,2019,02,03,29.6,1,N
IDCJAC0010,009225,2019,02,04,30.9,1,N
IDCJAC0010,009225,2019,02,05,33.4,1,N
IDCJAC0010,009225,2019,02,06,36.0,1,N
IDCJAC0010,009225,2019,02,07,35.5,1,N
IDCJAC0010,009225,2019,02,08,34.9,1,N
IDCJAC0010,009225,2019,02,09,35.0,1,N
IDCJAC0010,009225,2019,02,10,35.9,1,N
IDCJAC0010,009225,2019,02,11,26.1,1,N
IDCJAC0010,009225,2019,02,12,27.3,1,N
IDCJAC0010,009225,2019,02,13,32.1,1,N
IDCJAC0010,009225,2019,02,14,30.7,1,N
IDCJAC0010,009225,2019,02,15,27.2,1,N
IDCJAC0010,009225,2019,02,16,30.1,1,N
IDCJAC0010,009225,2019,02,17,30.3,1,N
IDCJAC0010,009225,2019,02,18,31.3,1,N
IDCJAC0010,009225,2019,02,19,32.7,1,N
IDCJAC0010,009225,2019,02,20,31.0,1,N
IDCJAC0010,009225,2019,02,21,24.6,1,N
IDCJAC0010,009225,2019,02,22,26.6,1,N
IDCJAC0010,009225,2019,02,23,28.0,1,N
IDCJAC0010,009225,2019,02,24,29.7,1,N
IDCJAC0010,009225,2019,02,25,37.0,1,N
IDCJAC0010,009225,2019,02,26,35.5,1,N
IDCJAC0010,009225,2019,02,27,33.4,1,N
IDCJAC0010,009225,2019,02,28,27.3,1,N
IDCJAC0010,009225,2019,03,01,23.9,1,Y
IDCJAC0010,009225,2019,03,02,25.8,1,Y
IDCJAC0010,009225,2019,03,03,34.7,1,Y
IDCJAC0010,009225,2019,03,04,39.5,1,Y
IDCJAC0010,009225,2019,03,05,30.4,1,Y
IDCJAC0010,009225,2019,03,06,30.6,1,Y
IDCJAC0010,009225,2019,03,07,25.6,1,Y
IDCJAC0010,009225,2019,03,08,29.4,1,Y
IDCJAC0010,009225,2019,03,09,24.0,1,Y
IDCJAC0010,009225,2019,03,10,29.4,1,Y
