Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,009225,2019,01,01,31.4
IDCJAC0016,009225,2019,01,02,14.3
IDCJAC0016,009225,2019,01,03,25.4
IDCJAC0016,009225,2019,01,04,31.7
IDCJAC0016,009225,2019,01,05,31.4
IDCJAC0016,009225,2019,01,06,31.6
IDCJAC0016,009225,2019,01,07,31.3
IDCJAC0016,009225,2019,01,08,27.2
IDCJAC0016,009225,2019,01,09,31.4
IDCJAC0016,009225,2019,01,10,30.6
IDCJAC0016,009225,2019,01,11,30.7
IDCJAC0016,009225,2019,01,12,31.1
IDCJAC0016,009225,2019,01,13,31.0
IDCJAC0016,009225,2019,01,14,31.0
IDCJAC0016,009225,2019,01,15,30.9
IDCJAC0016,009225,2019,01,16,30.8
IDCJAC0016,009225,2019,01,17,30.8
IDCJAC0016,009225,2019,01,18,30.7
IDCJAC0016,009225,2019,01,19,30.5
IDCJAC0016,009225,2019,01,20,30.6
IDCJAC0016,009225,2019,01,21,30.4
IDCJAC0016,009225,2019,01,22,24.4
IDCJAC0016,009225,2019,01,23,19.4
IDCJAC0016,009225,2019,01,24,15.1
IDCJAC0016,009225,2019,01,25,30.0
IDCJAC0016,009225,2019,01,26,29.9
IDCJAC0016,009225,2019,01,27,29.8
IDCJAC0016,009225,2019,01,28,29.7
IDCJAC0016,009225,2019,01,29,29.6
IDCJAC0016,009225,2019,01,30,29.4
IDCJAC0016,009225,2019,01,31,29.3
IDCJAC0016,009225,2019,02,01,29.3
IDCJAC0016,009225,2019,02,02,25.7
IDCJAC0016,009225,2019,02,03,29.0
IDCJAC0016,009225,2019,02,04,28.9
IDCJAC0016,009225,2019,02,05,28.8
IDCJAC0016,009225,2019,02,06,26.7
IDCJAC0016,009225,2019,02,07,28.3
IDCJAC0016,009225,2019,02,08,28.4
IDCJAC0016,009225,2019,02,09,28.2
IDCJAC0016,009225,2019,02,10,28.0
IDCJAC0016,009225,2019,02,11,28.0
IDCJAC0016,009225,2019,02,12,26.6
IDCJAC0016,009225,2019,02,13,21.0
IDCJAC0016,009225,2019,02,14,27.3
IDCJAC0016,009225,2019,02,15,26.6
IDCJAC0016,009225,2019,02,16,27.1
IDCJAC0016,009225,2019,02,17,27.0
IDCJAC0016,009225,2019,02,18,26.9
IDCJAC0016,009225,2019,02,19,26.7
IDCJAC0016,009225,2019,02,20,26.6
IDCJAC0016,009225,2019,02,21,10.3
IDCJAC0016,009225,2019,02,22,22.8
IDCJAC0016,009225,2019,02,23,24.0
IDCJAC0016,009225,2019,02,24,25.9
IDCJAC0016,009225,2019,02,25,25.8
IDCJAC0016,009225,2019,02,26,21.2
IDCJAC0016,009225,2019,02,27,23.8
IDCJAC0016,009225,2019,02,28,21.7
IDCJAC0016,009225,2019,03,01,22.0
IDCJAC0016,009225,2019,03,02,24.9
IDCJAC0016,009225,2019,03,03,24.8
IDCJAC0016,009225,2019,03,04,23.3
IDCJAC0016,009225,2019,03,05,20.9
IDCJAC0016,009225,2019,03,06,10.6
IDCJAC0016,009225,2019,03,07,7.1
IDCJAC0016,009225,2019,03,08,13.4
IDCJAC0016,009225,2019,03,09,4.1
IDCJAC0016,009225,2019,03,10,20.7
IDCJAC0016,009225,2019,03,11,23.5
IDCJAC0016,009225,2019,03,12,22.8
IDCJAC0016,009225,2019,03,13,23.0
IDCJAC0016,009225,2019,03,14,22.8
IDCJAC0016,009225,2019,03,15,22.6
IDCJAC0016,009225,2019,03,16,22.5
IDCJAC0016,009225,2019,03,17,22.3
IDCJAC0016,009225,2019,03,18,21.4
IDCJAC0016,009225,2019,03,19,21.7
IDCJAC0016,009225,2019,03,20,19.0
IDCJAC0016,009225,2019,03,21,19.2
IDCJAC0016,009225,2019,03,22,20.8
IDCJAC0016,009225,2019,03,23,21.1
IDCJAC0016,009225,2019,03,24,20.9
IDCJAC0016,009225,2019,03,25,20.6
IDCJAC0016,009225,2019,03,26,20.3
IDCJAC0016,009225,2019,03,27,20.3
IDCJAC0016,009225,2019,03,28,20.1
IDCJAC0016,009225,2019,03,29,19.9
IDCJAC0016,009225,2019,03,30,19.7
IDCJAC0016,009225,2019,03,31,16.0
IDCJAC0016,009225,2019,04,01,8.3
IDCJAC0016,009225,2019,04,02,18.3
IDCJAC0016,009225,2019,04,03,17.7
IDCJAC0016,009225,2019,04,04,13.0
IDCJAC0016,009225,2019,04,05,18.9
IDCJAC0016,009225,2019,04,06,18.8
IDCJAC0016,009225,2019,04,07,18.6
IDCJAC0016,009225,2019,04,08,18.5
IDCJAC0016,009225,2019,04,09,18.2
IDCJAC0016,009225,2019,04,10,18.1
IDCJAC0016,009225,2019,04,11,16.6
IDCJAC0016,009225,2019,04,12,16.2
IDCJAC0016,009225,2019,04,13,15.0
IDCJAC0016,009225,2019,04,14,11.9
IDCJAC0016,009225,2019,04,15,10.7
IDCJAC0016,009225,2019,04,16,13.2
IDCJAC0016,009225,2019,04,17,16.7
IDCJAC0016,009225,2019,04,18,16.0
IDCJAC0016,009225,2019,04,19,10.4
IDCJAC0016,009225,2019,04,20,15.5
IDCJAC0016,009225,2019,04,21,16.4
IDCJAC0016,009225,2019,04,22,16.3
IDCJAC0016,009225,2019,04,23,15.9
IDCJAC0016,009225,2019,04,24,15.9
IDCJAC0016,009225,2019,04,25,15.8
IDCJAC0016,009225,2019,04,26,15.7
IDCJAC0016,009225,2019,04,27,15.5
IDCJAC0016,009225,2019,04,28,13.7
IDCJAC0016,009225,2019,04,29,9.2
IDCJAC0016,009225,2019,04,30,13.9
IDCJAC0016,009225,2019,05,01,11.4
IDCJAC0016,009225,2019,05,02,15.0
IDCJAC0016,009225,2019,05,03,14.9
IDCJAC0016,009225,2019,05,04,12.0
IDCJAC0016,009225,2019,05,05,8.1
IDCJAC0016,009225,2019,05,06,11.9
IDCJAC0016,009225,2019,05,07,11.8
IDCJAC0016,009225,2019,05,08,12.0
IDCJAC0016,009225,2019,05,09,14.1
IDCJAC0016,009225,2019,05,10,14.1
IDCJAC0016,009225,2019,05,11,13.7
IDCJAC0016,009225,2019,05,12,13.8
IDCJAC0016,009225,2019,05,13,13.7
IDCJAC0016,009225,2019,05,14,13.6
IDCJAC0016,009225,2019,05,15,12.3
IDCJAC0016,009225,2019,05,16,4.9
IDCJAC0016,009225,2019,05,17,12.9
IDCJAC0016,009225,2019,05,18,13.3
IDCJAC0016,009225,2019,05,19,13.0
IDCJAC0016,009225,2019,05,20,11.0
IDCJAC0016,009225,2019,05,21,9.9
IDCJAC0016,009225,2019,05,22,12.4
IDCJAC0016,009225,2019,05,23,10.1
IDCJAC0016,009225,2019,05,24,11.4
IDCJAC0016,009225,2019,05,25,12.7
IDCJAC0016,009225,2019,05,26,12.7
IDCJAC0016,009225,2019,05,27,12.6
IDCJAC0016,009225,2019,05,28,12.6
IDCJAC0016,009225,2019,05,29,12.5
IDCJAC0016,009225,2019,05,30,11.3
IDCJAC0016,009225,2019,05,31,10.5
IDCJAC0016,009225,2019,06,01,12.3
IDCJAC0016,009225,2019,06,02,12.3
IDCJAC0016,009225,2019,06,03,12.3
IDCJAC0016,009225,2019,06,04,12.2
IDCJAC0016,009225,2019,06,05,10.8
IDCJAC0016,009225,2019,06,06,8.5
IDCJAC0016,009225,2019,06,07,9.5
IDCJAC0016,009225,2019,06,08,9.3
IDCJAC0016,009225,2019,06,09,8.7
IDCJAC0016,009225,2019,06,10,5.4
IDCJAC0016,009225,2019,06,11,8.3
IDCJAC0016,009225,2019,06,12,9.6
IDCJAC0016,009225,2019,06,13,10.3
IDCJAC0016,009225,2019,06,14,9.0
IDCJAC0016,009225,2019,06,15,8.8
IDCJAC0016,009225,2019,06,16,9.1
IDCJAC0016,009225,2019,06,17,9.3
IDCJAC0016,009225,2019,06,18,11.7
IDCJAC0016,009225,2019,06,19,11.9
IDCJAC0016,009225,2019,06,20,10.7
IDCJAC0016,009225,2019,06,21,11.7
IDCJAC0016,009225,2019,06,22,6.3
IDCJAC0016,009225,2019,06,23,9.9
IDCJAC0016,009225,2019,06,24,10.2
IDCJAC0016,009225,2019,06,25,9.0
IDCJAC0016,009225,2019,06,26,9.2
IDCJAC0016,009225,2019,06,27,9.2
IDCJAC0016,009225,2019,06,28,11.4
IDCJAC0016,009225,2019,06,29,8.0
IDCJAC0016,009225,2019,06,30,6.4
IDCJAC0016,009225,2019,07,01,10.5
IDCJAC0016,009225,2019,07,02,12.0
IDCJAC0016,009225,2019,07,03,12.1
IDCJAC0016,009225,2019,07,04,3.2
IDCJAC0016,009225,2019,07,05,7.9
IDCJAC0016,009225,2019,07,06,11.1
IDCJAC0016,009225,2019,07,07,12.0
IDCJAC0016,009225,2019,07,08,12.1
IDCJAC0016,009225,2019,07,09,9.2
IDCJAC0016,009225,2019,07,10,7.7
